DisciplineID,StudentID,SISStudentID,EventFacilityID,DisciplineEventCodeID,EventDate,EventReportingStaffID,DisciplineActionCodeID,ActionDate,ActionStaffID,ResolutionDate
308,621,621,5,76,'2010-01-18 00:00:00',6,4,'2010-01-25 00:00:00',1,
309,621,621,5,69,'2010-01-25 00:00:00',6,9,'2010-02-01 00:00:00',1,
310,631,631,2,80,'2008-09-03 00:00:00',6,18,'2008-09-10 00:00:00',1,
311,631,631,2,67,'2008-09-10 00:00:00',6,32,'2008-09-17 00:00:00',1,
312,631,631,2,52,'2008-09-17 00:00:00',6,35,'2008-09-24 00:00:00',1,
313,631,631,2,9,'2008-09-24 00:00:00',6,2,'2008-10-01 00:00:00',1,
314,631,631,2,76,'2008-10-01 00:00:00',6,4,'2008-10-08 00:00:00',1,
315,631,631,2,69,'2008-10-08 00:00:00',6,9,'2008-10-15 00:00:00',1,
316,631,631,2,80,'2008-10-15 00:00:00',6,18,'2008-10-22 00:00:00',1,
317,631,631,2,67,'2008-10-22 00:00:00',6,32,'2008-10-29 00:00:00',1,
318,641,641,1,52,'2008-10-29 00:00:00',6,35,'2008-11-05 00:00:00',1,
319,641,641,1,9,'2008-11-05 00:00:00',6,2,'2008-11-12 00:00:00',1,
320,641,641,1,76,'2008-11-12 00:00:00',6,4,'2008-11-19 00:00:00',1,
321,651,651,5,69,'2008-11-19 00:00:00',6,9,'2008-11-26 00:00:00',1,
322,651,651,5,80,'2008-11-26 00:00:00',6,18,'2008-12-03 00:00:00',1,
323,661,661,5,67,'2008-12-03 00:00:00',6,32,'2008-12-10 00:00:00',1,
324,661,661,5,52,'2008-12-10 00:00:00',6,35,'2008-12-17 00:00:00',1,
325,661,661,5,9,'2008-12-17 00:00:00',6,2,'2008-12-24 00:00:00',1,
326,661,661,5,76,'2008-12-24 00:00:00',6,4,'2008-12-31 00:00:00',1,
327,661,661,5,69,'2008-12-31 00:00:00',6,9,'2009-01-07 00:00:00',1,
328,671,671,2,80,'2009-01-07 00:00:00',6,18,'2009-01-14 00:00:00',1,
329,671,671,2,67,'2009-01-14 00:00:00',6,32,'2009-01-21 00:00:00',1,
330,671,671,2,52,'2009-01-21 00:00:00',6,35,'2009-01-28 00:00:00',1,
331,671,671,2,9,'2009-01-28 00:00:00',6,2,'2009-02-04 00:00:00',1,
332,681,681,1,76,'2009-02-04 00:00:00',6,4,'2009-02-11 00:00:00',1,
333,691,691,1,69,'2009-02-11 00:00:00',6,9,'2009-02-18 00:00:00',1,
334,701,701,5,80,'2009-02-18 00:00:00',6,18,'2009-02-25 00:00:00',1,
335,701,701,5,67,'2009-02-25 00:00:00',6,32,'2009-03-04 00:00:00',1,
336,701,701,5,52,'2009-03-04 00:00:00',6,35,'2009-03-11 00:00:00',1,
337,701,701,5,9,'2009-03-11 00:00:00',6,2,'2009-03-18 00:00:00',1,
338,701,701,5,76,'2009-03-18 00:00:00',6,4,'2009-03-25 00:00:00',1,
339,701,701,5,69,'2009-03-25 00:00:00',6,9,'2009-04-01 00:00:00',1,
340,701,701,5,80,'2009-04-01 00:00:00',6,18,'2009-04-08 00:00:00',1,
341,701,701,5,67,'2009-04-08 00:00:00',6,32,'2009-04-15 00:00:00',1,
342,701,701,5,52,'2009-04-15 00:00:00',6,35,'2009-04-22 00:00:00',1,
343,701,701,5,9,'2009-04-22 00:00:00',6,2,'2009-04-29 00:00:00',1,
344,711,711,2,76,'2009-04-29 00:00:00',6,4,'2009-05-06 00:00:00',1,
345,711,711,2,69,'2009-05-06 00:00:00',6,9,'2009-05-13 00:00:00',1,
346,711,711,2,80,'2009-05-13 00:00:00',6,18,'2009-05-20 00:00:00',1,
347,711,711,2,67,'2009-05-20 00:00:00',6,32,'2009-05-27 00:00:00',1,
348,711,711,2,52,'2009-05-27 00:00:00',6,35,'2009-06-03 00:00:00',1,
349,721,721,5,9,'2009-08-03 00:00:00',6,2,'2009-08-10 00:00:00',1,
350,721,721,5,76,'2009-08-10 00:00:00',6,4,'2009-08-17 00:00:00',1,
351,721,721,5,69,'2009-08-17 00:00:00',6,9,'2009-08-24 00:00:00',1,
352,721,721,5,80,'2009-08-24 00:00:00',6,18,'2009-08-31 00:00:00',1,
353,721,721,5,67,'2009-08-31 00:00:00',6,32,'2009-09-07 00:00:00',1,
354,721,721,5,52,'2009-09-07 00:00:00',6,35,'2009-09-14 00:00:00',1,
355,721,721,5,9,'2009-09-14 00:00:00',6,2,'2009-09-21 00:00:00',1,
356,731,731,2,76,'2009-09-21 00:00:00',6,4,'2009-09-28 00:00:00',1,
357,731,731,2,69,'2009-09-28 00:00:00',6,9,'2009-10-05 00:00:00',1,
358,741,741,1,80,'2009-10-05 00:00:00',6,18,'2009-10-12 00:00:00',1,
359,741,741,1,67,'2009-10-12 00:00:00',6,32,'2009-10-19 00:00:00',1,
360,741,741,1,52,'2009-10-19 00:00:00',6,35,'2009-10-26 00:00:00',1,
361,741,741,1,9,'2009-10-26 00:00:00',6,2,'2009-11-02 00:00:00',1,
362,741,741,1,76,'2009-11-02 00:00:00',6,4,'2009-11-09 00:00:00',1,
363,741,741,1,69,'2009-11-09 00:00:00',6,9,'2009-11-16 00:00:00',1,
364,751,751,5,80,'2008-09-03 00:00:00',6,18,'2008-09-10 00:00:00',1,
365,751,751,5,67,'2008-09-10 00:00:00',6,32,'2008-09-17 00:00:00',1,
366,751,751,5,52,'2008-09-17 00:00:00',6,35,'2008-09-24 00:00:00',1,
367,751,751,5,9,'2008-09-24 00:00:00',6,2,'2008-10-01 00:00:00',1,
368,751,751,5,76,'2008-10-01 00:00:00',6,4,'2008-10-08 00:00:00',1,
369,751,751,5,69,'2008-10-08 00:00:00',6,9,'2008-10-15 00:00:00',1,
370,761,761,5,80,'2008-10-15 00:00:00',6,18,'2008-10-22 00:00:00',1,
371,771,771,2,67,'2008-10-22 00:00:00',6,32,'2008-10-29 00:00:00',1,
372,771,771,2,52,'2008-10-29 00:00:00',6,35,'2008-11-05 00:00:00',1,
373,771,771,2,9,'2008-11-05 00:00:00',6,2,'2008-11-12 00:00:00',1,
374,771,771,2,76,'2008-11-12 00:00:00',6,4,'2008-11-19 00:00:00',1,
375,771,771,2,69,'2008-11-19 00:00:00',6,9,'2008-11-26 00:00:00',1,
376,781,781,1,80,'2008-11-26 00:00:00',6,18,'2008-12-03 00:00:00',1,
377,781,781,1,67,'2008-12-03 00:00:00',6,32,'2008-12-10 00:00:00',1,
378,781,781,1,52,'2008-12-10 00:00:00',6,35,'2008-12-17 00:00:00',1,
379,781,781,1,9,'2008-12-17 00:00:00',6,2,'2008-12-24 00:00:00',1,
380,791,791,1,76,'2008-12-24 00:00:00',6,4,'2008-12-31 00:00:00',1,
381,801,801,5,69,'2008-12-31 00:00:00',6,9,'2009-01-07 00:00:00',1,
382,811,811,2,80,'2009-01-07 00:00:00',6,18,'2009-01-14 00:00:00',1,
383,811,811,2,67,'2009-01-14 00:00:00',6,32,'2009-01-21 00:00:00',1,
384,811,811,2,52,'2009-01-21 00:00:00',6,35,'2009-01-28 00:00:00',1,
385,811,811,2,9,'2009-01-28 00:00:00',6,2,'2009-02-04 00:00:00',1,
386,811,811,2,76,'2009-02-04 00:00:00',6,4,'2009-02-11 00:00:00',1,
387,811,811,2,69,'2009-02-11 00:00:00',6,9,'2009-02-18 00:00:00',1,
388,811,811,2,80,'2009-02-18 00:00:00',6,18,'2009-02-25 00:00:00',1,
389,811,811,2,67,'2009-02-25 00:00:00',6,32,'2009-03-04 00:00:00',1,
390,811,811,2,52,'2009-03-04 00:00:00',6,35,'2009-03-11 00:00:00',1,
391,811,811,2,9,'2009-03-11 00:00:00',6,2,'2009-03-18 00:00:00',1,
392,821,821,5,76,'2009-03-18 00:00:00',6,4,'2009-03-25 00:00:00',1,
393,821,821,5,69,'2009-03-25 00:00:00',6,9,'2009-04-01 00:00:00',1,
394,821,821,5,80,'2009-04-01 00:00:00',6,18,'2009-04-08 00:00:00',1,
395,821,821,5,67,'2009-04-08 00:00:00',6,32,'2009-04-15 00:00:00',1,
396,821,821,5,52,'2009-04-15 00:00:00',6,35,'2009-04-22 00:00:00',1,
397,821,821,5,9,'2009-04-22 00:00:00',6,2,'2009-04-29 00:00:00',1,
398,821,821,5,76,'2009-04-29 00:00:00',6,4,'2009-05-06 00:00:00',1,
399,821,821,5,69,'2009-05-06 00:00:00',6,9,'2009-05-13 00:00:00',1,
400,821,821,5,80,'2009-05-13 00:00:00',6,18,'2009-05-20 00:00:00',1,
401,831,831,2,67,'2009-05-20 00:00:00',6,32,'2009-05-27 00:00:00',1,
402,831,831,2,52,'2009-05-27 00:00:00',6,35,'2009-06-03 00:00:00',1,
403,831,831,2,9,'2009-08-03 00:00:00',6,2,'2009-08-10 00:00:00',1,
404,831,831,2,76,'2009-08-10 00:00:00',6,4,'2009-08-17 00:00:00',1,
405,831,831,2,69,'2009-08-17 00:00:00',6,9,'2009-08-24 00:00:00',1,
406,831,831,2,80,'2009-08-24 00:00:00',6,18,'2009-08-31 00:00:00',1,
407,831,831,2,67,'2009-08-31 00:00:00',6,32,'2009-09-07 00:00:00',1,
408,831,831,2,52,'2009-09-07 00:00:00',6,35,'2009-09-14 00:00:00',1,
409,831,831,2,9,'2009-09-14 00:00:00',6,2,'2009-09-21 00:00:00',1,
410,841,841,1,76,'2009-09-21 00:00:00',6,4,'2009-09-28 00:00:00',1,
411,841,841,1,69,'2009-09-28 00:00:00',6,9,'2009-10-05 00:00:00',1,
412,841,841,1,80,'2009-10-05 00:00:00',6,18,'2009-10-12 00:00:00',1,
413,841,841,1,67,'2009-10-12 00:00:00',6,32,'2009-10-19 00:00:00',1,
414,841,841,1,52,'2009-10-19 00:00:00',6,35,'2009-10-26 00:00:00',1,
415,841,841,1,9,'2009-10-26 00:00:00',6,2,'2009-11-02 00:00:00',1,
416,841,841,1,76,'2009-11-02 00:00:00',6,4,'2009-11-09 00:00:00',1,
417,841,841,1,69,'2009-11-09 00:00:00',6,9,'2009-11-16 00:00:00',1,
418,851,851,5,80,'2009-11-16 00:00:00',6,18,'2009-11-23 00:00:00',1,
419,851,851,5,67,'2009-11-23 00:00:00',6,32,'2009-11-30 00:00:00',1,
420,851,851,5,52,'2009-11-30 00:00:00',6,35,'2009-12-07 00:00:00',1,
421,861,861,5,9,'2009-12-07 00:00:00',6,2,'2009-12-14 00:00:00',1,
422,871,871,2,76,'2009-12-14 00:00:00',6,4,'2009-12-21 00:00:00',1,
423,881,881,1,69,'2008-09-03 00:00:00',6,9,'2008-09-10 00:00:00',1,
424,881,881,1,80,'2008-09-10 00:00:00',6,18,'2008-09-17 00:00:00',1,
425,881,881,1,67,'2008-09-17 00:00:00',6,32,'2008-09-24 00:00:00',1,
426,881,881,1,52,'2008-09-24 00:00:00',6,35,'2008-10-01 00:00:00',1,
427,881,881,1,9,'2008-10-01 00:00:00',6,2,'2008-10-08 00:00:00',1,
428,891,891,1,76,'2008-10-08 00:00:00',6,4,'2008-10-15 00:00:00',1,
429,891,891,1,69,'2008-10-15 00:00:00',6,9,'2008-10-22 00:00:00',1,
430,891,891,1,80,'2008-10-22 00:00:00',6,18,'2008-10-29 00:00:00',1,
431,891,891,1,67,'2008-10-29 00:00:00',6,32,'2008-11-05 00:00:00',1,
432,891,891,1,52,'2008-11-05 00:00:00',6,35,'2008-11-12 00:00:00',1,
433,891,891,1,9,'2008-11-12 00:00:00',6,2,'2008-11-19 00:00:00',1,
434,891,891,1,76,'2008-11-19 00:00:00',6,4,'2008-11-26 00:00:00',1,
435,891,891,1,69,'2008-11-26 00:00:00',6,9,'2008-12-03 00:00:00',1,
436,901,901,5,80,'2008-12-03 00:00:00',6,18,'2008-12-10 00:00:00',1,
437,901,901,5,67,'2008-12-10 00:00:00',6,32,'2008-12-17 00:00:00',1,
438,901,901,5,52,'2008-12-17 00:00:00',6,35,'2008-12-24 00:00:00',1,
439,911,911,2,9,'2008-12-24 00:00:00',6,2,'2008-12-31 00:00:00',1,
440,921,921,5,76,'2008-12-31 00:00:00',6,4,'2009-01-07 00:00:00',1,
441,921,921,5,69,'2009-01-07 00:00:00',6,9,'2009-01-14 00:00:00',1,
442,921,921,5,80,'2009-01-14 00:00:00',6,18,'2009-01-21 00:00:00',1,
443,921,921,5,67,'2009-01-21 00:00:00',6,32,'2009-01-28 00:00:00',1,
444,921,921,5,52,'2009-01-28 00:00:00',6,35,'2009-02-04 00:00:00',1,
445,931,931,2,9,'2009-02-04 00:00:00',6,2,'2009-02-11 00:00:00',1,
446,931,931,2,76,'2009-02-11 00:00:00',6,4,'2009-02-18 00:00:00',1,
447,931,931,2,69,'2009-02-18 00:00:00',6,9,'2009-02-25 00:00:00',1,
448,931,931,2,80,'2009-02-25 00:00:00',6,18,'2009-03-04 00:00:00',1,
449,931,931,2,67,'2009-03-04 00:00:00',6,32,'2009-03-11 00:00:00',1,
450,931,931,2,52,'2009-03-11 00:00:00',6,35,'2009-03-18 00:00:00',1,
451,931,931,2,9,'2009-03-18 00:00:00',6,2,'2009-03-25 00:00:00',1,
452,941,941,1,76,'2009-03-25 00:00:00',6,4,'2009-04-01 00:00:00',1,
453,941,941,1,69,'2009-04-01 00:00:00',6,9,'2009-04-08 00:00:00',1,
454,941,941,1,80,'2009-04-08 00:00:00',6,18,'2009-04-15 00:00:00',1,
455,941,941,1,67,'2009-04-15 00:00:00',6,32,'2009-04-22 00:00:00',1,
456,941,941,1,52,'2009-04-22 00:00:00',6,35,'2009-04-29 00:00:00',1,
457,941,941,1,9,'2009-04-29 00:00:00',6,2,'2009-05-06 00:00:00',1,
458,941,941,1,76,'2009-05-06 00:00:00',6,4,'2009-05-13 00:00:00',1,
459,941,941,1,69,'2009-05-13 00:00:00',6,9,'2009-05-20 00:00:00',1,
460,941,941,1,80,'2009-05-20 00:00:00',6,18,'2009-05-27 00:00:00',1,
461,951,951,5,67,'2009-05-27 00:00:00',6,32,'2009-06-03 00:00:00',1,
462,951,951,5,52,'2009-08-03 00:00:00',6,35,'2009-08-10 00:00:00',1,
463,951,951,5,9,'2009-08-10 00:00:00',6,2,'2009-08-17 00:00:00',1,
464,951,951,5,76,'2009-08-17 00:00:00',6,4,'2009-08-24 00:00:00',1,
465,951,951,5,69,'2009-08-24 00:00:00',6,9,'2009-08-31 00:00:00',1,
466,951,951,5,80,'2009-08-31 00:00:00',6,18,'2009-09-07 00:00:00',1,
467,951,951,5,67,'2009-09-07 00:00:00',6,32,'2009-09-14 00:00:00',1,
468,951,951,5,52,'2009-09-14 00:00:00',6,35,'2009-09-21 00:00:00',1,
469,961,961,5,9,'2009-09-21 00:00:00',6,2,'2009-09-28 00:00:00',1,
470,961,961,5,76,'2009-09-28 00:00:00',6,4,'2009-10-05 00:00:00',1,
471,961,961,5,69,'2009-10-05 00:00:00',6,9,'2009-10-12 00:00:00',1,
472,971,971,2,80,'2009-10-12 00:00:00',6,18,'2009-10-19 00:00:00',1,
473,981,981,1,67,'2009-10-19 00:00:00',6,32,'2009-10-26 00:00:00',1,
474,991,991,1,52,'2009-10-26 00:00:00',6,35,'2009-11-02 00:00:00',1,
475,991,991,1,9,'2009-11-02 00:00:00',6,2,'2009-11-09 00:00:00',1,
476,991,991,1,76,'2009-11-09 00:00:00',6,4,'2009-11-16 00:00:00',1,
477,991,991,1,69,'2009-11-16 00:00:00',6,9,'2009-11-23 00:00:00',1,
478,991,991,1,80,'2009-11-23 00:00:00',6,18,'2009-11-30 00:00:00',1,
479,1001,1001,5,67,'2008-09-03 00:00:00',6,32,'2008-09-10 00:00:00',1,
480,1001,1001,5,52,'2008-09-10 00:00:00',6,35,'2008-09-17 00:00:00',1,
481,1001,1001,5,9,'2008-09-17 00:00:00',6,2,'2008-09-24 00:00:00',1,
482,1001,1001,5,76,'2008-09-24 00:00:00',6,4,'2008-10-01 00:00:00',1,
483,1001,1001,5,69,'2008-10-01 00:00:00',6,9,'2008-10-08 00:00:00',1,
484,1001,1001,5,80,'2008-10-08 00:00:00',6,18,'2008-10-15 00:00:00',1,
485,1001,1001,5,67,'2008-10-15 00:00:00',6,32,'2008-10-22 00:00:00',1,
486,1011,1011,2,52,'2008-10-22 00:00:00',6,35,'2008-10-29 00:00:00',1,
487,1011,1011,2,9,'2008-10-29 00:00:00',6,2,'2008-11-05 00:00:00',1,
488,1011,1011,2,76,'2008-11-05 00:00:00',6,4,'2008-11-12 00:00:00',1,
489,1011,1011,2,69,'2008-11-12 00:00:00',6,9,'2008-11-19 00:00:00',1,
490,1011,1011,2,80,'2008-11-19 00:00:00',6,18,'2008-11-26 00:00:00',1,
491,1011,1011,2,67,'2008-11-26 00:00:00',6,32,'2008-12-03 00:00:00',1,
492,1011,1011,2,52,'2008-12-03 00:00:00',6,35,'2008-12-10 00:00:00',1,
493,1011,1011,2,9,'2008-12-10 00:00:00',6,2,'2008-12-17 00:00:00',1,
494,1011,1011,2,76,'2008-12-17 00:00:00',6,4,'2008-12-24 00:00:00',1,
495,1011,1011,2,69,'2008-12-24 00:00:00',6,9,'2008-12-31 00:00:00',1,
496,1021,1021,5,80,'2008-12-31 00:00:00',6,18,'2009-01-07 00:00:00',1,
497,1021,1021,5,67,'2009-01-07 00:00:00',6,32,'2009-01-14 00:00:00',1,
498,1021,1021,5,52,'2009-01-14 00:00:00',6,35,'2009-01-21 00:00:00',1,
499,1021,1021,5,9,'2009-01-21 00:00:00',6,2,'2009-01-28 00:00:00',1,
500,1021,1021,5,76,'2009-01-28 00:00:00',6,4,'2009-02-04 00:00:00',1,
501,1021,1021,5,69,'2009-02-04 00:00:00',6,9,'2009-02-11 00:00:00',1,
502,1021,1021,5,80,'2009-02-11 00:00:00',6,18,'2009-02-18 00:00:00',1,
503,1021,1021,5,67,'2009-02-18 00:00:00',6,32,'2009-02-25 00:00:00',1,
504,1021,1021,5,52,'2009-02-25 00:00:00',6,35,'2009-03-04 00:00:00',1,
505,1031,1031,2,9,'2009-03-04 00:00:00',6,2,'2009-03-11 00:00:00',1,
506,1031,1031,2,76,'2009-03-11 00:00:00',6,4,'2009-03-18 00:00:00',1,
507,1031,1031,2,69,'2009-03-18 00:00:00',6,9,'2009-03-25 00:00:00',1,
508,1031,1031,2,80,'2009-03-25 00:00:00',6,18,'2009-04-01 00:00:00',1,
509,1031,1031,2,67,'2009-04-01 00:00:00',6,32,'2009-04-08 00:00:00',1,
510,1031,1031,2,52,'2009-04-08 00:00:00',6,35,'2009-04-15 00:00:00',1,
511,1031,1031,2,9,'2009-04-15 00:00:00',6,2,'2009-04-22 00:00:00',1,
512,1031,1031,2,76,'2009-04-22 00:00:00',6,4,'2009-04-29 00:00:00',1,
513,1031,1031,2,69,'2009-04-29 00:00:00',6,9,'2009-05-06 00:00:00',1,
514,1041,1041,1,80,'2009-05-06 00:00:00',6,18,'2009-05-13 00:00:00',1,
515,1041,1041,1,67,'2009-05-13 00:00:00',6,32,'2009-05-20 00:00:00',1,
516,1041,1041,1,52,'2009-05-20 00:00:00',6,35,'2009-05-27 00:00:00',1,
517,1041,1041,1,9,'2009-05-27 00:00:00',6,2,'2009-06-03 00:00:00',1,
518,1041,1041,1,76,'2009-08-03 00:00:00',6,4,'2009-08-10 00:00:00',1,
519,1041,1041,1,69,'2009-08-10 00:00:00',6,9,'2009-08-17 00:00:00',1,
520,1041,1041,1,80,'2009-08-17 00:00:00',6,18,'2009-08-24 00:00:00',1,
521,1041,1041,1,67,'2009-08-24 00:00:00',6,32,'2009-08-31 00:00:00',1,
522,1051,1051,5,52,'2009-08-31 00:00:00',6,35,'2009-09-07 00:00:00',1,
523,1051,1051,5,9,'2009-09-07 00:00:00',6,2,'2009-09-14 00:00:00',1,
524,1051,1051,5,76,'2009-09-14 00:00:00',6,4,'2009-09-21 00:00:00',1,
525,1061,1061,5,69,'2009-09-21 00:00:00',6,9,'2009-09-28 00:00:00',1,
526,1071,1071,2,80,'2009-09-28 00:00:00',6,18,'2009-10-05 00:00:00',1,
527,1071,1071,2,67,'2009-10-05 00:00:00',6,32,'2009-10-12 00:00:00',1,
528,1071,1071,2,52,'2009-10-12 00:00:00',6,35,'2009-10-19 00:00:00',1,
529,1071,1071,2,9,'2009-10-19 00:00:00',6,2,'2009-10-26 00:00:00',1,
530,1071,1071,2,76,'2009-10-26 00:00:00',6,4,'2009-11-02 00:00:00',1,
531,1081,1081,1,69,'2009-11-02 00:00:00',6,9,'2009-11-09 00:00:00',1,
532,1081,1081,1,80,'2009-11-09 00:00:00',6,18,'2009-11-16 00:00:00',1,
533,1081,1081,1,67,'2009-11-16 00:00:00',6,32,'2009-11-23 00:00:00',1,
534,1081,1081,1,52,'2009-11-23 00:00:00',6,35,'2009-11-30 00:00:00',1,
535,1091,1091,1,9,'2009-11-30 00:00:00',6,2,'2009-12-07 00:00:00',1,
536,1091,1091,1,76,'2009-12-07 00:00:00',6,4,'2009-12-14 00:00:00',1,
537,1091,1091,1,69,'2009-12-14 00:00:00',6,9,'2009-12-21 00:00:00',1,
538,1091,1091,1,80,'2009-12-21 00:00:00',6,18,'2009-12-28 00:00:00',1,
539,1091,1091,1,67,'2009-12-28 00:00:00',6,32,'2010-01-04 00:00:00',1,
540,1091,1091,1,52,'2010-01-04 00:00:00',6,35,'2010-01-11 00:00:00',1,
541,1091,1091,1,9,'2010-01-11 00:00:00',6,2,'2010-01-18 00:00:00',1,
542,1091,1091,1,76,'2010-01-18 00:00:00',6,4,'2010-01-25 00:00:00',1,
543,1091,1091,1,69,'2010-01-25 00:00:00',6,9,'2010-02-01 00:00:00',1,
544,1091,1091,1,80,'2010-02-01 00:00:00',6,18,'2010-02-08 00:00:00',1,
545,1091,1091,1,67,'2010-02-08 00:00:00',6,32,'2010-02-15 00:00:00',1,
546,1101,1101,5,52,'2010-02-15 00:00:00',6,35,'2010-02-22 00:00:00',1,
547,1101,1101,5,9,'2010-02-22 00:00:00',6,2,'2010-03-01 00:00:00',1,
548,1101,1101,5,76,'2010-03-01 00:00:00',6,4,'2010-03-08 00:00:00',1,
549,1101,1101,5,69,'2010-03-08 00:00:00',6,9,'2010-03-15 00:00:00',1,
550,1101,1101,5,80,'2010-03-15 00:00:00',6,18,'2010-03-22 00:00:00',1,
551,1111,1111,2,67,'2010-03-22 00:00:00',6,32,'2010-03-29 00:00:00',1,
552,1111,1111,2,52,'2010-03-29 00:00:00',6,35,'2010-04-05 00:00:00',1,
553,1111,1111,2,9,'2010-04-05 00:00:00',6,2,'2010-04-12 00:00:00',1,
554,1111,1111,2,76,'2010-04-12 00:00:00',6,4,'2010-04-19 00:00:00',1,
555,1111,1111,2,69,'2010-04-19 00:00:00',6,9,'2010-04-26 00:00:00',1,
556,1111,1111,2,80,'2010-04-26 00:00:00',6,18,'2010-05-03 00:00:00',1,
557,1111,1111,2,67,'2010-05-03 00:00:00',6,32,'2010-05-10 00:00:00',1,
558,1121,1121,5,52,'2010-05-10 00:00:00',6,35,'2010-05-17 00:00:00',1,
559,1121,1121,5,9,'2010-05-17 00:00:00',6,2,'2010-05-24 00:00:00',1,
560,1131,1131,2,76,'2008-09-03 00:00:00',6,4,'2008-09-10 00:00:00',1,
561,1131,1131,2,69,'2008-09-10 00:00:00',6,9,'2008-09-17 00:00:00',1,
562,1141,1141,1,80,'2008-09-17 00:00:00',6,18,'2008-09-24 00:00:00',1,
563,1141,1141,1,67,'2008-09-24 00:00:00',6,32,'2008-10-01 00:00:00',1,
564,1141,1141,1,52,'2008-10-01 00:00:00',6,35,'2008-10-08 00:00:00',1,
565,1141,1141,1,9,'2008-10-08 00:00:00',6,2,'2008-10-15 00:00:00',1,
566,1141,1141,1,76,'2008-10-15 00:00:00',6,4,'2008-10-22 00:00:00',1,
567,1141,1141,1,69,'2008-10-22 00:00:00',6,9,'2008-10-29 00:00:00',1,
568,1151,1151,5,80,'2008-10-29 00:00:00',6,18,'2008-11-05 00:00:00',1,
569,1151,1151,5,67,'2008-11-05 00:00:00',6,32,'2008-11-12 00:00:00',1,
570,1151,1151,5,52,'2008-11-12 00:00:00',6,35,'2008-11-19 00:00:00',1,
571,1151,1151,5,9,'2008-11-19 00:00:00',6,2,'2008-11-26 00:00:00',1,
572,1151,1151,5,76,'2008-11-26 00:00:00',6,4,'2008-12-03 00:00:00',1,
573,1151,1151,5,69,'2008-12-03 00:00:00',6,9,'2008-12-10 00:00:00',1,
574,1151,1151,5,80,'2008-12-10 00:00:00',6,18,'2008-12-17 00:00:00',1,
575,1151,1151,5,67,'2008-12-17 00:00:00',6,32,'2008-12-24 00:00:00',1,
576,1161,1161,5,52,'2008-12-24 00:00:00',6,35,'2008-12-31 00:00:00',1,
577,1161,1161,5,9,'2008-12-31 00:00:00',6,2,'2009-01-07 00:00:00',1,
578,1161,1161,5,76,'2009-01-07 00:00:00',6,4,'2009-01-14 00:00:00',1,
579,1204,4,3,69,'2009-01-14 00:00:00',6,9,'2009-01-21 00:00:00',1,
580,1204,4,3,80,'2009-01-21 00:00:00',6,18,'2009-01-28 00:00:00',1,
581,1204,4,3,67,'2009-01-28 00:00:00',6,32,'2009-02-04 00:00:00',1,
582,1204,4,3,52,'2009-02-04 00:00:00',6,35,'2009-02-11 00:00:00',1,
583,1204,4,3,9,'2009-02-11 00:00:00',6,2,'2009-02-18 00:00:00',1,
584,1214,14,1,76,'2009-02-18 00:00:00',6,4,'2009-02-25 00:00:00',1,
585,1214,14,1,69,'2009-02-25 00:00:00',6,9,'2009-03-04 00:00:00',1,
586,1214,14,1,80,'2009-03-04 00:00:00',6,18,'2009-03-11 00:00:00',1,
587,1224,24,1,67,'2009-03-11 00:00:00',6,32,'2009-03-18 00:00:00',1,
588,1224,24,1,52,'2009-03-18 00:00:00',6,35,'2009-03-25 00:00:00',1,
589,1224,24,1,9,'2009-03-25 00:00:00',6,2,'2009-04-01 00:00:00',1,
590,1224,24,1,76,'2009-04-01 00:00:00',6,4,'2009-04-08 00:00:00',1,
591,1224,24,1,69,'2009-04-08 00:00:00',6,9,'2009-04-15 00:00:00',1,
592,1224,24,1,80,'2009-04-15 00:00:00',6,18,'2009-04-22 00:00:00',1,
593,1224,24,1,67,'2009-04-22 00:00:00',6,32,'2009-04-29 00:00:00',1,
594,1224,24,1,52,'2009-04-29 00:00:00',6,35,'2009-05-06 00:00:00',1,
595,1224,24,1,9,'2009-05-06 00:00:00',6,2,'2009-05-13 00:00:00',1,
596,1224,24,1,76,'2009-05-13 00:00:00',6,4,'2009-05-20 00:00:00',1,
597,1224,24,1,69,'2009-05-20 00:00:00',6,9,'2009-05-27 00:00:00',1,
598,1234,34,2,80,'2009-05-27 00:00:00',6,18,'2009-06-03 00:00:00',1,
599,1234,34,2,67,'2009-08-03 00:00:00',6,32,'2009-08-10 00:00:00',1,
600,1234,34,2,52,'2009-08-10 00:00:00',6,35,'2009-08-17 00:00:00',1,
601,1234,34,2,9,'2009-08-17 00:00:00',6,2,'2009-08-24 00:00:00',1,
602,1234,34,2,76,'2009-08-24 00:00:00',6,4,'2009-08-31 00:00:00',1,
603,1244,44,1,69,'2009-08-31 00:00:00',6,9,'2009-09-07 00:00:00',1,
604,1244,44,1,80,'2009-09-07 00:00:00',6,18,'2009-09-14 00:00:00',1,
605,1244,44,1,67,'2009-09-14 00:00:00',6,32,'2009-09-21 00:00:00',1,
606,1244,44,1,52,'2009-09-21 00:00:00',6,35,'2009-09-28 00:00:00',1,
607,1244,44,1,9,'2009-09-28 00:00:00',6,2,'2009-10-05 00:00:00',1,
608,1244,44,1,76,'2009-10-05 00:00:00',6,4,'2009-10-12 00:00:00',1,
609,1244,44,1,69,'2009-10-12 00:00:00',6,9,'2009-10-19 00:00:00',1,
610,1254,54,1,80,'2009-10-19 00:00:00',6,18,'2009-10-26 00:00:00',1,
