StandardizedTestDomainScoreID,StandardizedTestScoreID,StandardizedTestDomainID,RawScore,PossibleRawScore
2764,518,9,0.00,0.00
2765,518,10,0.00,0.00
2766,518,11,0.00,0.00
2767,519,7,6.00,12.00
2768,519,8,0.00,0.00
2769,519,9,4.00,9.00
2770,519,10,3.00,6.00
2771,519,11,16.00,33.00
2772,520,12,0.00,0.00
2773,520,13,0.00,0.00
2774,520,14,0.00,0.00
2775,520,15,0.00,0.00
2776,520,16,6.00,8.00
2777,521,12,0.00,0.00
2778,521,13,0.00,0.00
2779,521,14,0.00,0.00
2780,521,15,0.00,0.00
2781,521,16,6.00,8.00
2782,522,1,5.00,6.00
2783,522,2,0.00,0.00
2784,522,3,5.00,8.00
2785,522,4,0.00,0.00
2786,522,5,0.00,0.00
2787,522,6,32.00,36.00
2788,523,1,8.00,8.00
2789,523,2,0.00,0.00
2790,523,3,8.00,12.00
2791,523,4,26.00,30.00
2792,523,5,0.00,0.00
2793,523,6,0.00,0.00
2794,524,7,0.00,0.00
2795,524,8,0.00,0.00
2796,524,9,0.00,0.00
2797,524,10,0.00,0.00
2798,524,11,0.00,0.00
2799,525,7,10.00,12.00
2800,525,8,0.00,0.00
2801,525,9,4.00,9.00
2802,525,10,4.00,6.00
2803,525,11,19.00,33.00
2804,526,12,0.00,0.00
2805,526,13,0.00,0.00
2806,526,14,0.00,0.00
2807,526,15,0.00,0.00
2808,526,16,8.00,8.00
2809,527,12,0.00,0.00
2810,527,13,0.00,0.00
2811,527,14,0.00,0.00
2812,527,15,0.00,0.00
2813,527,16,7.00,8.00
2814,528,1,5.00,6.00
2815,528,2,0.00,0.00
2816,528,3,6.00,8.00
2817,528,4,0.00,0.00
2818,528,5,0.00,0.00
2819,528,6,29.00,36.00
2820,529,1,7.00,8.00
2821,529,2,0.00,0.00
2822,529,3,11.00,12.00
2823,529,4,28.00,30.00
2824,529,5,0.00,0.00
2825,529,6,0.00,0.00
2826,530,7,10.00,12.00
2827,530,8,0.00,0.00
2828,530,9,9.00,9.00
2829,530,10,6.00,6.00
2830,530,11,26.00,33.00
2831,531,7,0.00,0.00
2832,531,8,0.00,0.00
2833,531,9,0.00,0.00
2834,531,10,0.00,0.00
2835,531,11,0.00,0.00
2836,532,12,0.00,0.00
2837,532,13,0.00,0.00
2838,532,14,0.00,0.00
2839,532,15,0.00,0.00
2840,532,16,7.00,8.00
2841,533,12,0.00,0.00
2842,533,13,0.00,0.00
2843,533,14,0.00,0.00
2844,533,15,0.00,0.00
2845,533,16,8.00,8.00
2846,534,1,2.00,8.00
2847,534,2,0.00,0.00
2848,534,3,7.00,12.00
2849,534,4,18.00,30.00
2850,534,5,0.00,0.00
2851,534,6,0.00,0.00
2852,535,1,5.00,6.00
2853,535,2,0.00,0.00
2854,535,3,4.00,8.00
2855,535,4,0.00,0.00
2856,535,5,0.00,0.00
2857,535,6,16.00,36.00
2858,536,7,4.00,12.00
2859,536,8,0.00,0.00
2860,536,9,5.00,9.00
2861,536,10,3.00,6.00
2862,536,11,22.00,33.00
2863,537,7,0.00,0.00
2864,537,8,0.00,0.00
2865,537,9,0.00,0.00
2866,537,10,0.00,0.00
2867,537,11,0.00,0.00
2868,538,12,0.00,0.00
2869,538,13,0.00,0.00
2870,538,14,0.00,0.00
2871,538,15,0.00,0.00
2872,538,16,7.00,8.00
2873,539,12,0.00,0.00
2874,539,13,0.00,0.00
2875,539,14,0.00,0.00
2876,539,15,0.00,0.00
2877,539,16,4.00,8.00
2878,540,1,5.00,6.00
2879,540,2,0.00,0.00
2880,540,3,5.00,8.00
2881,540,4,0.00,0.00
2882,540,5,0.00,0.00
2883,540,6,23.00,36.00
2884,541,1,5.00,8.00
2885,541,2,0.00,0.00
2886,541,3,11.00,12.00
2887,541,4,24.00,30.00
2888,541,5,0.00,0.00
2889,541,6,0.00,0.00
2890,542,7,0.00,0.00
2891,542,8,0.00,0.00
2892,542,9,0.00,0.00
2893,542,10,0.00,0.00
2894,542,11,0.00,0.00
2895,543,7,9.00,12.00
2896,543,8,0.00,0.00
2897,543,9,4.00,9.00
2898,543,10,1.00,6.00
2899,543,11,20.00,33.00
2900,544,12,0.00,0.00
2901,544,13,0.00,0.00
2902,544,14,0.00,0.00
2903,544,15,0.00,0.00
2904,544,16,4.00,8.00
2905,545,12,0.00,0.00
2906,545,13,0.00,0.00
2907,545,14,0.00,0.00
2908,545,15,0.00,0.00
2909,545,16,8.00,8.00
2910,546,1,8.00,8.00
2911,546,2,0.00,0.00
2912,546,3,7.00,12.00
2913,546,4,25.00,30.00
2914,546,5,0.00,0.00
2915,546,6,0.00,0.00
2916,547,7,10.00,12.00
2917,547,8,0.00,0.00
2918,547,9,7.00,9.00
2919,547,10,5.00,6.00
2920,547,11,26.00,33.00
2921,548,12,0.00,0.00
2922,548,13,0.00,0.00
2923,548,14,0.00,0.00
2924,548,15,0.00,0.00
2925,548,16,8.00,8.00
2926,549,1,6.00,8.00
2927,549,2,0.00,0.00
2928,549,3,9.00,12.00
2929,549,4,23.00,30.00
2930,549,5,0.00,0.00
2931,549,6,0.00,0.00
2932,550,1,4.00,6.00
2933,550,2,0.00,0.00
2934,550,3,8.00,8.00
2935,550,4,0.00,0.00
2936,550,5,0.00,0.00
2937,550,6,31.00,36.00
2938,551,7,0.00,0.00
2939,551,8,0.00,0.00
2940,551,9,0.00,0.00
2941,551,10,0.00,0.00
2942,551,11,0.00,0.00
2943,552,7,12.00,12.00
2944,552,8,0.00,0.00
2945,552,9,5.00,9.00
2946,552,10,3.00,6.00
2947,552,11,18.00,33.00
2948,553,12,0.00,0.00
2949,553,13,0.00,0.00
2950,553,14,0.00,0.00
2951,553,15,0.00,0.00
2952,553,16,7.00,8.00
2953,554,12,0.00,0.00
2954,554,13,0.00,0.00
2955,554,14,0.00,0.00
2956,554,15,0.00,0.00
2957,554,16,6.00,8.00
2958,555,1,2.00,6.00
2959,555,2,0.00,0.00
2960,555,3,8.00,8.00
2961,555,4,0.00,0.00
2962,555,5,0.00,0.00
2963,555,6,33.00,36.00
2964,556,1,7.00,8.00
2965,556,2,0.00,0.00
2966,556,3,11.00,12.00
2967,556,4,27.00,30.00
2968,556,5,0.00,0.00
2969,556,6,0.00,0.00
2970,557,7,0.00,0.00
2971,557,8,0.00,0.00
2972,557,9,0.00,0.00
2973,557,10,0.00,0.00
2974,557,11,0.00,0.00
2975,558,7,10.00,12.00
2976,558,8,0.00,0.00
2977,558,9,5.00,9.00
2978,558,10,6.00,6.00
2979,558,11,28.00,33.00
2980,559,12,0.00,0.00
2981,559,13,0.00,0.00
2982,559,14,0.00,0.00
2983,559,15,0.00,0.00
2984,559,16,6.00,8.00
2985,560,12,0.00,0.00
2986,560,13,0.00,0.00
2987,560,14,0.00,0.00
2988,560,15,0.00,0.00
2989,560,16,8.00,8.00
2990,561,1,6.00,8.00
2991,561,2,0.00,0.00
2992,561,3,10.00,12.00
2993,561,4,18.00,30.00
2994,561,5,0.00,0.00
2995,561,6,0.00,0.00
2996,562,1,5.00,6.00
2997,562,2,0.00,0.00
2998,562,3,6.00,8.00
2999,562,4,0.00,0.00
3000,562,5,0.00,0.00
3001,562,6,26.00,36.00
3002,563,7,0.00,0.00
3003,563,8,0.00,0.00
3004,563,9,0.00,0.00
3005,563,10,0.00,0.00
3006,563,11,0.00,0.00
3007,564,7,9.00,12.00
3008,564,8,0.00,0.00
3009,564,9,4.00,9.00
3010,564,10,5.00,6.00
3011,564,11,17.00,33.00
3012,565,12,0.00,0.00
3013,565,13,0.00,0.00
3014,565,14,0.00,0.00
3015,565,15,0.00,0.00
3016,565,16,7.00,8.00
3017,566,12,0.00,0.00
3018,566,13,0.00,0.00
3019,566,14,0.00,0.00
3020,566,15,0.00,0.00
3021,566,16,8.00,8.00
3022,567,1,3.00,8.00
3023,567,2,0.00,0.00
3024,567,3,7.00,12.00
3025,567,4,16.00,30.00
3026,567,5,0.00,0.00
3027,567,6,0.00,0.00
3028,568,1,1.00,6.00
3029,568,2,0.00,0.00
3030,568,3,5.00,8.00
3031,568,4,0.00,0.00
3032,568,5,0.00,0.00
3033,568,6,25.00,36.00
3034,569,7,9.00,12.00
3035,569,8,0.00,0.00
3036,569,9,4.00,9.00
3037,569,10,5.00,6.00
3038,569,11,14.00,33.00
3039,570,7,0.00,0.00
3040,570,8,0.00,0.00
3041,570,9,0.00,0.00
3042,570,10,0.00,0.00
3043,570,11,0.00,0.00
3044,571,12,0.00,0.00
3045,571,13,0.00,0.00
3046,571,14,0.00,0.00
3047,571,15,0.00,0.00
3048,571,16,4.00,8.00
3049,572,12,0.00,0.00
3050,572,13,0.00,0.00
3051,572,14,0.00,0.00
3052,572,15,0.00,0.00
3053,572,16,7.00,8.00
3054,573,1,5.00,8.00
3055,573,2,0.00,0.00
3056,573,3,6.00,12.00
3057,573,4,19.00,30.00
3058,573,5,0.00,0.00
3059,573,6,0.00,0.00
3060,574,1,4.00,6.00
3061,574,2,0.00,0.00
3062,574,3,4.00,8.00
3063,574,4,0.00,0.00
3064,574,5,0.00,0.00
3065,574,6,22.00,36.00
3066,575,7,10.00,12.00
3067,575,8,0.00,0.00
3068,575,9,3.00,9.00
3069,575,10,4.00,6.00
3070,575,11,25.00,33.00
3071,576,7,0.00,0.00
3072,576,8,0.00,0.00
3073,576,9,0.00,0.00
3074,576,10,0.00,0.00
3075,576,11,0.00,0.00
3076,577,12,0.00,0.00
3077,577,13,0.00,0.00
3078,577,14,0.00,0.00
3079,577,15,0.00,0.00
3080,577,16,7.00,8.00
3081,578,12,0.00,0.00
3082,578,13,0.00,0.00
3083,578,14,0.00,0.00
3084,578,15,0.00,0.00
3085,578,16,8.00,8.00
3086,579,1,3.00,6.00
3087,579,2,0.00,0.00
3088,579,3,6.00,8.00
3089,579,4,0.00,0.00
3090,579,5,0.00,0.00
3091,579,6,22.00,36.00
3092,580,1,5.00,8.00
3093,580,2,0.00,0.00
3094,580,3,8.00,12.00
3095,580,4,20.00,30.00
3096,580,5,0.00,0.00
3097,580,6,0.00,0.00
3098,581,7,0.00,0.00
3099,581,8,0.00,0.00
3100,581,9,0.00,0.00
3101,581,10,0.00,0.00
3102,581,11,0.00,0.00
3103,582,7,8.00,12.00
3104,582,8,0.00,0.00
3105,582,9,4.00,9.00
3106,582,10,2.00,6.00
3107,582,11,16.00,33.00
3108,583,12,0.00,0.00
3109,583,13,0.00,0.00
3110,583,14,0.00,0.00
3111,583,15,0.00,0.00
3112,583,16,6.00,8.00
3113,584,12,0.00,0.00
3114,584,13,0.00,0.00
3115,584,14,0.00,0.00
3116,584,15,0.00,0.00
3117,584,16,6.00,8.00
3118,585,1,7.00,8.00
3119,585,2,0.00,0.00
3120,585,3,9.00,12.00
3121,585,4,26.00,30.00
3122,585,5,0.00,0.00
3123,585,6,0.00,0.00
3124,586,1,6.00,6.00
3125,586,2,0.00,0.00
3126,586,3,7.00,8.00
3127,586,4,0.00,0.00
3128,586,5,0.00,0.00
3129,586,6,30.00,36.00
3130,587,7,11.00,12.00
3131,587,8,0.00,0.00
3132,587,9,7.00,9.00
3133,587,10,5.00,6.00
3134,587,11,28.00,33.00
3135,588,7,0.00,0.00
3136,588,8,0.00,0.00
3137,588,9,0.00,0.00
3138,588,10,0.00,0.00
3139,588,11,0.00,0.00
3140,589,12,0.00,0.00
3141,589,13,0.00,0.00
3142,589,14,0.00,0.00
3143,589,15,0.00,0.00
3144,589,16,6.00,8.00
3145,590,12,0.00,0.00
3146,590,13,0.00,0.00
3147,590,14,0.00,0.00
3148,590,15,0.00,0.00
3149,590,16,8.00,8.00
3150,591,1,5.00,8.00
3151,591,2,0.00,0.00
3152,591,3,7.00,12.00
3153,591,4,21.00,30.00
3154,591,5,0.00,0.00
3155,591,6,0.00,0.00
3156,592,1,2.00,6.00
3157,592,2,0.00,0.00
3158,592,3,5.00,8.00
3159,592,4,0.00,0.00
3160,592,5,0.00,0.00
3161,592,6,28.00,36.00
3162,593,7,0.00,0.00
3163,593,8,0.00,0.00
3164,593,9,0.00,0.00
3165,593,10,0.00,0.00
3166,593,11,0.00,0.00
3167,594,7,11.00,12.00
3168,594,8,0.00,0.00
3169,594,9,4.00,9.00
3170,594,10,1.00,6.00
3171,594,11,17.00,33.00
3172,595,12,0.00,0.00
3173,595,13,0.00,0.00
3174,595,14,0.00,0.00
3175,595,15,0.00,0.00
3176,595,16,6.00,8.00
3177,596,12,0.00,0.00
3178,596,13,0.00,0.00
3179,596,14,0.00,0.00
3180,596,15,0.00,0.00
3181,596,16,7.00,8.00
3182,597,1,8.00,8.00
3183,597,2,0.00,0.00
3184,597,3,10.00,12.00
3185,597,4,21.00,30.00
3186,597,5,0.00,0.00
3187,597,6,0.00,0.00
3188,598,1,6.00,6.00
3189,598,2,0.00,0.00
3190,598,3,7.00,8.00
3191,598,4,0.00,0.00
3192,598,5,0.00,0.00
3193,598,6,32.00,36.00
3194,599,7,11.00,12.00
3195,599,8,0.00,0.00
3196,599,9,7.00,9.00
3197,599,10,4.00,6.00
3198,599,11,27.00,33.00
3199,600,7,0.00,0.00
3200,600,8,0.00,0.00
3201,600,9,0.00,0.00
3202,600,10,0.00,0.00
3203,600,11,0.00,0.00
3204,601,12,0.00,0.00
3205,601,13,0.00,0.00
3206,601,14,0.00,0.00
3207,601,15,0.00,0.00
3208,601,16,8.00,8.00
3209,602,12,0.00,0.00
3210,602,13,0.00,0.00
3211,602,14,0.00,0.00
3212,602,15,0.00,0.00
3213,602,16,8.00,8.00
3214,603,1,4.00,6.00
3215,603,2,0.00,0.00
3216,603,3,6.00,8.00
3217,603,4,0.00,0.00
3218,603,5,0.00,0.00
3219,603,6,21.00,36.00
3220,604,1,5.00,8.00
3221,604,2,0.00,0.00
3222,604,3,9.00,12.00
3223,604,4,23.00,30.00
3224,604,5,0.00,0.00
3225,604,6,0.00,0.00
3226,605,7,10.00,12.00
3227,605,8,0.00,0.00
3228,605,9,8.00,9.00
3229,605,10,5.00,6.00
3230,605,11,20.00,33.00
3231,606,7,0.00,0.00
3232,606,8,0.00,0.00
3233,606,9,0.00,0.00
3234,606,10,0.00,0.00
3235,606,11,0.00,0.00
3236,607,12,0.00,0.00
3237,607,13,0.00,0.00
3238,607,14,0.00,0.00
3239,607,15,0.00,0.00
3240,607,16,6.00,8.00
3241,608,12,0.00,0.00
3242,608,13,0.00,0.00
3243,608,14,0.00,0.00
3244,608,15,0.00,0.00
3245,608,16,8.00,8.00
3246,609,1,6.00,6.00
3247,609,2,0.00,0.00
3248,609,3,8.00,8.00
3249,609,4,0.00,0.00
3250,609,5,0.00,0.00
3251,609,6,34.00,36.00
3252,610,7,0.00,0.00
3253,610,8,0.00,0.00
3254,610,9,0.00,0.00
3255,610,10,0.00,0.00
3256,610,11,0.00,0.00
3257,611,12,0.00,0.00
3258,611,13,0.00,0.00
3259,611,14,0.00,0.00
3260,611,15,0.00,0.00
3261,611,16,8.00,8.00
3262,612,1,3.00,6.00
3263,612,2,0.00,0.00
3264,612,3,3.00,8.00
3265,612,4,0.00,0.00
3266,612,5,0.00,0.00
3267,612,6,20.00,36.00
3268,613,1,8.00,8.00
3269,613,2,0.00,0.00
3270,613,3,10.00,12.00
3271,613,4,21.00,30.00
3272,613,5,0.00,0.00
3273,613,6,0.00,0.00
3274,614,7,0.00,0.00
3275,614,8,0.00,0.00
3276,614,9,0.00,0.00
3277,614,10,0.00,0.00
3278,614,11,0.00,0.00
3279,615,7,8.00,12.00
3280,615,8,0.00,0.00
3281,615,9,5.00,9.00
3282,615,10,4.00,6.00
3283,615,11,16.00,33.00
3284,616,12,0.00,0.00
3285,616,13,0.00,0.00
3286,616,14,0.00,0.00
3287,616,15,0.00,0.00
3288,616,16,6.00,8.00
3289,617,12,0.00,0.00
3290,617,13,0.00,0.00
3291,617,14,0.00,0.00
3292,617,15,0.00,0.00
3293,617,16,6.00,8.00
3294,618,1,7.00,8.00
3295,618,2,0.00,0.00
3296,618,3,11.00,12.00
3297,618,4,29.00,30.00
3298,618,5,0.00,0.00
3299,618,6,0.00,0.00
3300,619,7,12.00,12.00
3301,619,8,0.00,0.00
3302,619,9,7.00,9.00
3303,619,10,6.00,6.00
3304,619,11,32.00,33.00
3305,620,12,0.00,0.00
3306,620,13,0.00,0.00
3307,620,14,0.00,0.00
3308,620,15,0.00,0.00
3309,620,16,8.00,8.00
3310,621,1,4.00,8.00
3311,621,2,0.00,0.00
3312,621,3,7.00,12.00
3313,621,4,17.00,30.00
3314,621,5,0.00,0.00
3315,621,6,0.00,0.00
3316,622,1,4.00,6.00
3317,622,2,0.00,0.00
3318,622,3,6.00,8.00
3319,622,4,0.00,0.00
3320,622,5,0.00,0.00
3321,622,6,24.00,36.00
3322,623,7,0.00,0.00
3323,623,8,0.00,0.00
3324,623,9,0.00,0.00
3325,623,10,0.00,0.00
3326,623,11,0.00,0.00
3327,624,7,6.00,12.00
3328,624,8,0.00,0.00
3329,624,9,5.00,9.00
3330,624,10,3.00,6.00
3331,624,11,15.00,33.00
3332,625,12,0.00,0.00
3333,625,13,0.00,0.00
3334,625,14,0.00,0.00
3335,625,15,0.00,0.00
3336,625,16,7.00,8.00
3337,626,12,0.00,0.00
3338,626,13,0.00,0.00
3339,626,14,0.00,0.00
3340,626,15,0.00,0.00
3341,626,16,7.00,8.00
3342,627,1,8.00,8.00
3343,627,2,0.00,0.00
3344,627,3,8.00,12.00
3345,627,4,20.00,30.00
3346,627,5,0.00,0.00
3347,627,6,0.00,0.00
3348,628,1,5.00,6.00
3349,628,2,0.00,0.00
3350,628,3,7.00,8.00
3351,628,4,0.00,0.00
3352,628,5,0.00,0.00
3353,628,6,24.00,36.00
3354,629,7,6.00,12.00
3355,629,8,0.00,0.00
3356,629,9,9.00,9.00
3357,629,10,4.00,6.00
3358,629,11,23.00,33.00
3359,630,7,0.00,0.00
3360,630,8,0.00,0.00
3361,630,9,0.00,0.00
3362,630,10,0.00,0.00
3363,630,11,0.00,0.00
3364,631,12,0.00,0.00
3365,631,13,0.00,0.00
3366,631,14,0.00,0.00
3367,631,15,0.00,0.00
3368,631,16,8.00,8.00
3369,632,12,0.00,0.00
3370,632,13,0.00,0.00
3371,632,14,0.00,0.00
3372,632,15,0.00,0.00
3373,632,16,6.00,8.00
3374,633,1,5.00,6.00
3375,633,2,0.00,0.00
3376,633,3,8.00,8.00
3377,633,4,0.00,0.00
3378,633,5,0.00,0.00
3379,633,6,31.00,36.00
3380,634,1,8.00,8.00
3381,634,2,0.00,0.00
3382,634,3,11.00,12.00
3383,634,4,26.00,30.00
3384,634,5,0.00,0.00
3385,634,6,0.00,0.00
3386,635,7,0.00,0.00
3387,635,8,0.00,0.00
3388,635,9,0.00,0.00
3389,635,10,0.00,0.00
3390,635,11,0.00,0.00
3391,636,7,11.00,12.00
3392,636,8,0.00,0.00
3393,636,9,7.00,9.00
3394,636,10,5.00,6.00
3395,636,11,24.00,33.00
3396,637,12,0.00,0.00
3397,637,13,0.00,0.00
3398,637,14,0.00,0.00
3399,637,15,0.00,0.00
3400,637,16,8.00,8.00
3401,638,12,0.00,0.00
3402,638,13,0.00,0.00
3403,638,14,0.00,0.00
3404,638,15,0.00,0.00
3405,638,16,8.00,8.00
3406,639,1,3.00,6.00
3407,639,2,0.00,0.00
3408,639,3,7.00,8.00
3409,639,4,0.00,0.00
3410,639,5,0.00,0.00
3411,639,6,31.00,36.00
3412,640,1,7.00,8.00
3413,640,2,0.00,0.00
3414,640,3,10.00,12.00
3415,640,4,27.00,30.00
3416,640,5,0.00,0.00
3417,640,6,0.00,0.00
3418,641,7,11.00,12.00
3419,641,8,0.00,0.00
3420,641,9,8.00,9.00
3421,641,10,5.00,6.00
3422,641,11,30.00,33.00
3423,642,7,0.00,0.00
3424,642,8,0.00,0.00
3425,642,9,0.00,0.00
3426,642,10,0.00,0.00
3427,642,11,0.00,0.00
3428,643,12,0.00,0.00
3429,643,13,0.00,0.00
3430,643,14,0.00,0.00
3431,643,15,0.00,0.00
3432,643,16,7.00,8.00
3433,644,12,0.00,0.00
3434,644,13,0.00,0.00
3435,644,14,0.00,0.00
3436,644,15,0.00,0.00
3437,644,16,8.00,8.00
3438,645,1,5.00,6.00
3439,645,2,0.00,0.00
3440,645,3,7.00,8.00
3441,645,4,0.00,0.00
3442,645,5,0.00,0.00
3443,645,6,24.00,36.00
3444,646,1,7.00,8.00
3445,646,2,0.00,0.00
3446,646,3,12.00,12.00
3447,646,4,22.00,30.00
3448,646,5,0.00,0.00
3449,646,6,0.00,0.00
3450,647,7,12.00,12.00
3451,647,8,0.00,0.00
3452,647,9,7.00,9.00
3453,647,10,4.00,6.00
3454,647,11,28.00,33.00
3455,648,7,0.00,0.00
3456,648,8,0.00,0.00
3457,648,9,0.00,0.00
3458,648,10,0.00,0.00
3459,648,11,0.00,0.00
3460,649,12,0.00,0.00
3461,649,13,0.00,0.00
3462,649,14,0.00,0.00
3463,649,15,0.00,0.00
3464,649,16,7.00,8.00
3465,650,12,0.00,0.00
3466,650,13,0.00,0.00
3467,650,14,0.00,0.00
3468,650,15,0.00,0.00
3469,650,16,6.00,8.00
3470,651,1,5.00,8.00
3471,651,2,0.00,0.00
3472,651,3,9.00,12.00
3473,651,4,18.00,30.00
3474,651,5,0.00,0.00
3475,651,6,0.00,0.00
3476,652,1,1.00,6.00
3477,652,2,0.00,0.00
3478,652,3,6.00,8.00
3479,652,4,0.00,0.00
3480,652,5,0.00,0.00
3481,652,6,26.00,36.00
3482,653,7,0.00,0.00
3483,653,8,0.00,0.00
3484,653,9,0.00,0.00
3485,653,10,0.00,0.00
3486,653,11,0.00,0.00
3487,654,7,6.00,12.00
3488,654,8,0.00,0.00
3489,654,9,3.00,9.00
3490,654,10,4.00,6.00
3491,654,11,13.00,33.00
3492,655,12,0.00,0.00
3493,655,13,0.00,0.00
3494,655,14,0.00,0.00
3495,655,15,0.00,0.00
3496,655,16,7.00,8.00
3497,656,12,0.00,0.00
3498,656,13,0.00,0.00
3499,656,14,0.00,0.00
3500,656,15,0.00,0.00
3501,656,16,7.00,8.00
3502,657,1,2.00,6.00
3503,657,2,0.00,0.00
3504,657,3,3.00,8.00
3505,657,4,0.00,0.00
3506,657,5,0.00,0.00
3507,657,6,27.00,36.00
3508,658,1,6.00,8.00
3509,658,2,0.00,0.00
3510,658,3,9.00,12.00
3511,658,4,23.00,30.00
3512,658,5,0.00,0.00
3513,658,6,0.00,0.00
3514,659,7,0.00,0.00
3515,659,8,0.00,0.00
3516,659,9,0.00,0.00
3517,659,10,0.00,0.00
3518,659,11,0.00,0.00
3519,660,7,11.00,12.00
3520,660,8,0.00,0.00
3521,660,9,3.00,9.00
3522,660,10,2.00,6.00
3523,660,11,17.00,33.00
3524,661,12,0.00,0.00
3525,661,13,0.00,0.00
3526,661,14,0.00,0.00
3527,661,15,0.00,0.00
3528,661,16,7.00,8.00
3529,662,12,0.00,0.00
3530,662,13,0.00,0.00
3531,662,14,0.00,0.00
3532,662,15,0.00,0.00
3533,662,16,7.00,8.00
3534,663,1,4.00,6.00
3535,663,2,0.00,0.00
3536,663,3,7.00,8.00
3537,663,4,0.00,0.00
3538,663,5,0.00,0.00
3539,663,6,22.00,36.00
3540,664,1,8.00,8.00
3541,664,2,0.00,0.00
3542,664,3,10.00,12.00
3543,664,4,17.00,30.00
3544,664,5,0.00,0.00
3545,664,6,0.00,0.00
3546,665,7,0.00,0.00
3547,665,8,0.00,0.00
3548,665,9,0.00,0.00
3549,665,10,0.00,0.00
3550,665,11,0.00,0.00
3551,666,7,10.00,12.00
3552,666,8,0.00,0.00
3553,666,9,4.00,9.00
3554,666,10,3.00,6.00
3555,666,11,19.00,33.00
3556,667,12,0.00,0.00
3557,667,13,0.00,0.00
3558,667,14,0.00,0.00
3559,667,15,0.00,0.00
3560,667,16,8.00,8.00
3561,668,12,0.00,0.00
3562,668,13,0.00,0.00
3563,668,14,0.00,0.00
3564,668,15,0.00,0.00
3565,668,16,8.00,8.00
3566,669,1,5.00,6.00
3567,669,2,0.00,0.00
3568,669,3,6.00,8.00
3569,669,4,0.00,0.00
3570,669,5,0.00,0.00
3571,669,6,25.00,36.00
3572,670,1,7.00,8.00
3573,670,2,0.00,0.00
3574,670,3,11.00,12.00
3575,670,4,26.00,30.00
3576,670,5,0.00,0.00
3577,670,6,0.00,0.00
3578,671,7,11.00,12.00
3579,671,8,0.00,0.00
3580,671,9,8.00,9.00
3581,671,10,6.00,6.00
3582,671,11,27.00,33.00
3583,672,7,0.00,0.00
3584,672,8,0.00,0.00
3585,672,9,0.00,0.00
3586,672,10,0.00,0.00
3587,672,11,0.00,0.00
3588,673,12,0.00,0.00
3589,673,13,0.00,0.00
3590,673,14,0.00,0.00
3591,673,15,0.00,0.00
3592,673,16,8.00,8.00
3593,674,12,0.00,0.00
3594,674,13,0.00,0.00
3595,674,14,0.00,0.00
3596,674,15,0.00,0.00
3597,674,16,8.00,8.00
3598,675,1,1.00,6.00
3599,675,2,0.00,0.00
3600,675,3,6.00,8.00
3601,675,4,0.00,0.00
3602,675,5,0.00,0.00
3603,675,6,11.00,36.00
3604,676,1,6.00,8.00
3605,676,2,0.00,0.00
3606,676,3,11.00,12.00
3607,676,4,16.00,30.00
3608,676,5,0.00,0.00
3609,676,6,0.00,0.00
3610,677,7,11.00,12.00
3611,677,8,0.00,0.00
3612,677,9,5.00,9.00
3613,677,10,4.00,6.00
3614,677,11,14.00,33.00
3615,678,7,0.00,0.00
3616,678,8,0.00,0.00
3617,678,9,0.00,0.00
3618,678,10,0.00,0.00
3619,678,11,0.00,0.00
3620,679,12,0.00,0.00
3621,679,13,0.00,0.00
3622,679,14,0.00,0.00
3623,679,15,0.00,0.00
3624,679,16,6.00,8.00
3625,680,12,0.00,0.00
3626,680,13,0.00,0.00
3627,680,14,0.00,0.00
3628,680,15,0.00,0.00
3629,680,16,7.00,8.00
3630,681,1,4.00,6.00
3631,681,2,0.00,0.00
3632,681,3,7.00,8.00
3633,681,4,0.00,0.00
3634,681,5,0.00,0.00
3635,681,6,29.00,36.00
3636,682,1,7.00,8.00
3637,682,2,0.00,0.00
3638,682,3,10.00,12.00
3639,682,4,23.00,30.00
3640,682,5,0.00,0.00
3641,682,6,0.00,0.00
3642,683,7,0.00,0.00
3643,683,8,0.00,0.00
3644,683,9,0.00,0.00
3645,683,10,0.00,0.00
3646,683,11,0.00,0.00
3647,684,7,9.00,12.00
3648,684,8,0.00,0.00
3649,684,9,6.00,9.00
3650,684,10,5.00,6.00
3651,684,11,26.00,33.00
3652,685,12,0.00,0.00
3653,685,13,0.00,0.00
3654,685,14,0.00,0.00
3655,685,15,0.00,0.00
3656,685,16,7.00,8.00
3657,686,12,0.00,0.00
3658,686,13,0.00,0.00
3659,686,14,0.00,0.00
3660,686,15,0.00,0.00
3661,686,16,8.00,8.00
3662,687,1,4.00,6.00
3663,687,2,0.00,0.00
3664,687,3,7.00,8.00
3665,687,4,0.00,0.00
3666,687,5,0.00,0.00
3667,687,6,25.00,36.00
3668,688,1,7.00,8.00
3669,688,2,0.00,0.00
3670,688,3,11.00,12.00
3671,688,4,23.00,30.00
3672,688,5,0.00,0.00
3673,688,6,0.00,0.00
3674,689,7,0.00,0.00
3675,689,8,0.00,0.00
3676,689,9,0.00,0.00
3677,689,10,0.00,0.00
3678,689,11,0.00,0.00
3679,690,7,12.00,12.00
3680,690,8,0.00,0.00
3681,690,9,8.00,9.00
3682,690,10,5.00,6.00
3683,690,11,28.00,33.00
3684,691,12,0.00,0.00
3685,691,13,0.00,0.00
3686,691,14,0.00,0.00
3687,691,15,0.00,0.00
3688,691,16,6.00,8.00
3689,692,12,0.00,0.00
3690,692,13,0.00,0.00
3691,692,14,0.00,0.00
3692,692,15,0.00,0.00
